initial key,initial value,assigned workspace,assigned bucket,assigned key name,is merged
andpoe.accom_bundle_loading_text,Loading available items for you,accommodation,accommodation_bundle,loading_text,FALSE
andpoe.accom_bundle_navbar_page_title,Hotel + {0},accommodation,accommodation_bundle,navbar_page_title,FALSE
andpoe.accom_bundle_no_photo_text,Photo unavailable,accommodation,accommodation_bundle,no_photo_text,FALSE
andpoe.accom_bundle_price_breakdown_included_text,Included,accommodation,accommodation_bundle,price_breakdown_included_text,FALSE
andpoe.accom_bundle_price_breakdown_total_bundle_price_text,+ only {0},accommodation,accommodation_bundle,price_breakdown_total_bundle_price_text,FALSE
andpoe.accom_bundle_price_breakdown_total_pay_special_price_title,<![CDATA[<strong><font color=#029D24>Special price</font></strong> if you book as bundle]]>,accommodation,accommodation_bundle,price_breakdown_total_pay_special_price_title,FALSE
andpoe.accom_bundle_price_breakdown_total_price_text,<![CDATA[You''ll pay only <strong>{0}</strong> includes taxes and fees]]>,accommodation,accommodation_bundle,price_breakdown_total_price_text,FALSE
andpoe.accom_bundle_price_details_subtitle,Price if you book separately:,accommodation,accommodation_bundle,price_details_subtitle,FALSE
andpoe.accom_bundle_price_details_title,Price Details,accommodation,accommodation_bundle,price_details_title,
andpoe.accom_bundle_snack_bar_change_spec_message,Your bundle item has been updated based on availability,accommodation,accommodation_bundle,snack_bar_change_spec_message,FALSE
andpoe.accom_bundle_travel_activities_carousel_title,Select one of these popular attractions,accommodation,accommodation_bundle,travel_activities_carousel_title,FALSE
andpoe.accom_bundle_travel_activities_see_details_button,See details,accommodation,accommodation_bundle,travel_activities_see_details_button,
andpoe.accom_bundle_travel_activities_select_button,Select,accommodation,accommodation_bundle,travel_activities_select_button,FALSE
andpoe.accom_bundle_travel_activities_selected_button,Selected,accommodation,accommodation_bundle,travel_activities_selected_button,FALSE
andpoe.accom_change_guest_callout_message,"Changes to guest details may incur extra charges, depending on the hotel''s policy",accommodation,accommodation_change,guest_callout_message,FALSE
andpoe.accom_change_guest_check_box_same_name_label,Use the same name for all rooms,accommodation,accommodation_change,guest_check_box_same_name_label,FALSE
andpoe.accom_change_guest_form_helper_label,As in passport or official ID card,accommodation,accommodation_change,guest_form_helper_label,FALSE
andpoe.accom_change_guest_room_item_label,Room {0},accommodation,accommodation_change,guest_room_item_label,FALSE
andpoe.accom_change_guest_room_type_label,Room Type,accommodation,accommodation_change,guest_room_type_label,FALSE
andpoe.accom_check_in_check_out_policy_banner,Please make sure you’re aware of this particular check-in & check-out times,accommodation,accommodation_check_in,check_out_policy_banner,FALSE
andpoe.accom_cips_check_in_help_step_select_problem,State Problem,accommodation,,,FALSE
andpoe.accom_cips_check_in_help_step_select_solution,Choose Solution,accommodation,,,FALSE
andpoe.accom_cips_check_in_help_step_waiting_approval,Request Status,accommodation,,,FALSE
andpoe.accom_cips_delay_request_cancel_request_button,Cancel Request,accommodation,accommodation_cips,delay_request_cancel_request_button,FALSE
andpoe.accom_cips_delay_request_loading_description,Please wait a moment,accommodation,accommodation_cips,delay_request_loading_description,FALSE
andpoe.accom_cips_delay_request_loading_title,Sending your request..,accommodation,accommodation_cips,delay_request_loading_title,FALSE
andpoe.accom_cips_problem_list_description,Let us know what happened so we can proceed to help you:,accommodation,accommodation_cips,problem_list_description,FALSE
andpoe.accom_cips_problem_list_item_message_placeholder,Check-in problem you''re facing,accommodation,accommodation_cips,problem_list_item_message_placeholder,FALSE
andpoe.accom_cips_problem_list_title,What problem are you facing?,accommodation,accommodation_cips,problem_list_title,FALSE
